id,region_code,province,city,county,level,parent_id,latitude,longitude,created_at,updated_at
1,110000,北京市,,,1,,39.9042,116.4074,2024-11-25 14:28:02,2024-11-23 11:11:27
2,120000,天津市,,,1,,39.3434,117.3616,2024-11-13 00:08:36,2025-03-04 00:37:12
3,130000,河北省,,,1,,38.0428,114.5149,2023-10-08 04:28:59,2025-05-02 04:02:43
4,140000,山西省,,,1,,37.5777,112.2922,2024-05-14 02:39:18,2025-04-13 08:47:52
5,150000,内蒙古自治区,,,1,,40.8414,111.7518,2024-12-28 04:04:40,2025-02-06 01:49:37
6,210000,辽宁省,,,1,,41.2956,123.4315,2024-02-05 23:57:13,2024-10-16 21:28:17
7,220000,吉林省,,,1,,43.8868,125.3245,2025-03-20 06:07:14,2025-05-13 09:39:46
8,230000,黑龙江省,,,1,,45.7732,126.6618,2023-06-17 02:01:44,2024-09-02 00:34:30
9,310000,上海市,,,1,,31.2304,121.4737,2023-07-19 02:15:27,2024-09-03 03:20:38
10,320000,江苏省,,,1,,32.0415,118.7672,2024-08-21 03:57:00,2025-01-29 22:12:45
11,330000,浙江省,,,1,,30.2741,120.1551,2023-12-07 04:39:11,2024-11-24 11:44:02
12,340000,安徽省,,,1,,31.8612,117.2272,2025-03-23 00:13:00,2024-09-06 06:02:43
13,350000,福建省,,,1,,26.0745,119.2965,2024-05-14 22:04:00,2024-11-28 13:30:36
14,360000,江西省,,,1,,28.6766,115.9092,2025-03-05 15:28:04,2024-10-11 15:29:48
15,370000,山东省,,,1,,36.6758,117.0009,2024-07-26 03:48:14,2024-08-14 04:38:41
16,410000,河南省,,,1,,34.7466,113.6254,2025-05-10 12:17:01,2024-08-07 03:41:13
17,420000,湖北省,,,1,,30.5952,114.2998,2024-04-29 17:04:00,2025-01-25 10:44:39
18,430000,湖南省,,,1,,28.1127,112.9836,2025-03-21 00:50:19,2025-02-25 01:37:27
19,440000,广东省,,,1,,23.1291,113.2644,2024-06-19 14:59:33,2024-12-30 22:44:01
20,450000,广西壮族自治区,,,1,,22.8159,108.3275,2024-10-21 03:18:06,2024-07-08 20:32:41
21,460000,海南省,,,1,,20.0179,110.3493,2024-02-18 15:28:03,2025-03-21 07:49:56
22,500000,重庆市,,,1,,29.563,106.5516,2024-04-22 09:13:59,2024-11-11 20:13:16
23,510000,四川省,,,1,,30.6171,104.0648,2024-11-13 15:53:29,2025-02-16 06:43:07
24,520000,贵州省,,,1,,26.5783,106.7135,2024-08-18 06:11:16,2024-08-08 05:58:13
25,530000,云南省,,,1,,25.0406,102.7103,2023-09-24 15:54:32,2024-11-05 04:10:56
26,540000,西藏自治区,,,1,,29.644,91.1409,2025-05-09 23:29:54,2025-06-02 02:47:23
27,610000,陕西省,,,1,,34.3416,108.9398,2024-09-16 07:57:01,2024-12-19 11:59:34
28,620000,甘肃省,,,1,,36.0611,103.8343,2025-04-30 21:43:23,2025-06-09 13:37:54
29,630000,青海省,,,1,,36.6171,101.7782,2025-01-26 15:13:36,2024-07-07 03:59:43
30,640000,宁夏回族自治区,,,1,,38.4681,106.2731,2023-09-20 04:50:50,2024-10-23 20:27:52
31,650000,新疆维吾尔自治区,,,1,,43.7938,87.6177,2024-10-16 20:35:06,2025-02-01 16:46:03
32,135907,河北省,石家庄市,,2,3,37.98901878182627,114.99291022896328,2024-07-20 23:10:36,2024-08-21 02:59:11
33,134375,河北省,唐山市,,2,3,39.95807949319143,118.00111841910395,2024-03-21 09:59:45,2025-01-15 01:13:50
34,146238,山西省,太原市,,2,4,38.11787452601765,112.96596765959839,2025-05-08 09:59:32,2024-08-17 14:15:19
